Wavelength,calib_1,calib_2,calib_3,calib_4,calib_5,calib_6,calib_7
2243.5,-0.00301,-0.001169,0.001681,0.000586,0.001707,0.000348,-0.000065
2243,-0.003378,0.000036,0.00296,0.000341,0.002186,0.000245,-0.000194
2242.5,-0.003417,0.000988,0.004122,0.00062,0.00277,0.000737,-0.000261
2242,-0.003539,0.000881,0.003944,0.000616,0.003004,0.001324,-0.00075
2241.5,-0.003984,-0.000346,0.001897,-0.000002,0.002467,0.001247,-0.001487
2241,-0.004555,-0.002032,-0.00109,-0.000913,0.001145,0.000249,-0.00194
2240.5,-0.004909,-0.003232,-0.003201,-0.001473,-0.000318,-0.001048,-0.001911
2240,-0.004882,-0.003271,-0.003282,-0.001114,-0.000937,-0.001546,-0.001491
2239.5,-0.00452,-0.002151,-0.001836,0.000302,-0.000187,-0.000633,-0.000635
2239,-0.004005,-0.000553,-0.000465,0.002258,0.00156,0.001186,0.000598
2238.5,-0.003639,0.000694,-0.000387,0.003841,0.003449,0.002726,0.001495
2238,-0.003689,0.001291,-0.001425,0.004483,0.004853,0.003218,0.001054
2237.5,-0.004079,0.001547,-0.002387,0.004357,0.005537,0.002824,-0.000876
2237,-0.004344,0.001766,-0.002285,0.003888,0.005358,0.002082,-0.003276
2236.5,-0.00413,0.00179,-0.001189,0.003143,0.004282,0.00125,-0.004907
2236,-0.003692,0.001228,-0.000017,0.001931,0.00268,0.000397,-0.005315
2235.5,-0.003607,0.000009,0.000424,0.000351,0.001275,-0.000167,-0.004745
2235,-0.003926,-0.00148,0.000176,-0.001068,0.00067,0.000012,-0.003548
2234.5,-0.003963,-0.002722,-0.000073,-0.001802,0.000991,0.000982,-0.002071
2234,-0.003203,-0.003424,0.000189,-0.001734,0.001851,0.002153,-0.000864
2233.5,-0.002109,-0.003591,0.00078,-0.00112,0.002554,0.002781,-0.000534
2233,-0.001709,-0.003419,0.001078,-0.00036,0.002397,0.00257,-0.001316
2232.5,-0.002463,-0.003218,0.000672,0.000111,0.001104,0.00177,-0.002858
2232,-0.003875,-0.003233,-0.000298,-0.000021,-0.000916,0.000803,-0.004401
2231.5,-0.005155,-0.003389,-0.001351,-0.000709,-0.002819,-0.000043,-0.005132
2231,-0.005796,-0.003281,-0.002045,-0.001447,-0.003852,-0.000482,-0.004596
2230.5,-0.005551,-0.002566,-0.002143,-0.001594,-0.003688,-0.000052,-0.003099
2230,-0.004419,-0.001414,-0.001631,-0.000952,-0.002468,0.001512,-0.001646
2229.5,-0.002854,-0.000447,-0.0007,-0.000025,-0.00071,0.003671,-0.001132
2229,-0.001647,-0.000205,0.000258,0.000358,0.000887,0.005132,-0.001601
2228.5,-0.001295,-0.000742,0.000765,-0.000212,0.001783,0.004843,-0.002394
2228,-0.001659,-0.001791,0.000545,-0.001361,0.001851,0.002929,-0.002923
2227.5,-0.002382,-0.003126,-0.000235,-0.002326,0.001241,0.00039,-0.003105
2227,-0.003349,-0.004521,-0.001071,-0.002662,0.000113,-0.001963,-0.003132
2226.5,-0.00451,-0.005428,-0.001486,-0.002443,-0.001247,-0.003845,-0.003073
2226,-0.005555,-0.005186,-0.001364,-0.001932,-0.002261,-0.004951,-0.002801
2225.5,-0.006119,-0.003773,-0.000931,-0.001303,-0.002409,-0.004744,-0.00217
2225,-0.006125,-0.002087,-0.000466,-0.000773,-0.001832,-0.003071,-0.001194
2224.5,-0.00568,-0.001143,-0.000084,-0.000718,-0.001265,-0.000661,-0.000125
2224,-0.004782,-0.001001,0.000268,-0.001296,-0.001228,0.001435,0.0007
2223.5,-0.003365,-0.000825,0.000718,-0.001972,-0.001447,0.002817,0.0012
2223,-0.001578,0.000029,0.001378,-0.001701,-0.001216,0.003838,0.001709
2222.5,0.000149,0.001333,0.00221,0.000128,-0.000151,0.004851,0.002598
2222,0.001273,0.0024,0.002884,0.00288,0.001463,0.005664,0.00371
2221.5,0.001378,0.002841,0.00296,0.004986,0.00295,0.00576,0.004377
2221,0.000509,0.002746,0.002347,0.005253,0.003755,0.004877,0.00413
2220.5,-0.000658,0.002441,0.001511,0.003874,0.003837,0.003342,0.003223
2220,-0.001354,0.002307,0.001015,0.002068,0.00364,0.001841,0.002264
2219.5,-0.001534,0.002642,0.000917,0.000831,0.003614,0.000849,0.00149
