t,Tin,Tin_amb,Tout,T4,T5,T6,T7,T8,note,Tset,duty
2023-04-28 13:22:42,111.10223770141602,35.52661954430844,48.658460042469905,99.91518397224276,37.164099510513,108.76709656803581,33.185767495639276,82.64979947290028,,,27.492761143704218
2023-04-28 13:22:43,111.10980987548828,35.536157013847486,48.66239188395942,99.92453409491915,37.16050867174281,108.76922867369464,33.19780776792544,82.6663090035027,,,27.396546580281896
2023-04-28 13:22:44,111.10997772216797,35.52896001579354,48.65894724064091,99.93193451974945,37.16462896866786,108.77301144179901,33.17849229253767,82.67727457408347,,,28.015575980135406
2023-04-28 13:22:45,111.10665130615234,35.529264875228534,48.65200847293966,99.92861735209777,37.16888935568837,108.77693176510718,33.18661373436122,82.66677546082866,,,31.91614788454406
2023-04-28 13:22:46,111.1176986694336,35.533119996438124,48.655799483707874,99.9396260586,37.18087941974028,108.80961640992007,33.1945943065302,82.69573404924522,,,26.639106074243966
2023-04-28 13:22:47,111.1252670288086,35.52976268367301,48.6633510553586,99.94355609787324,37.17729476141548,108.78102785339796,33.214438553519855,82.71045421895789,,,29.142733802544036
2023-04-28 13:22:48,111.12181091308594,35.52993247880136,48.649047221556465,99.94734058013636,37.18534582160704,108.78842526657984,33.19902251349734,82.71421646493121,,,29.154972609241792
2023-04-28 13:22:49,111.1582260131836,35.53745749017144,48.65281920114612,99.94749379804175,37.19338040061089,108.79218510881691,33.19918379904386,82.71076009261427,,,30.46403930758828
2023-04-28 13:22:50,111.13301086425781,35.53763114427998,48.66384205976533,99.95850250454397,37.19750069753595,108.7959602349655,33.20716845439124,82.70374029220064,,,26.432853052171836
2023-04-28 13:22:51,111.12599182128906,35.53602580852103,48.649604835088134,99.95150810716294,37.18594532480964,108.78717198583415,33.19961763674811,82.69677019625617,,,32.994835833096374
2023-04-28 13:22:52,111.12639617919922,35.52722347470814,48.63553889101794,99.95553007717942,37.18244925286872,108.78937286909488,33.20005351604155,82.69356999312643,,,28.99012239298497
2023-04-28 13:22:53,111.12654876708984,35.53842995317927,48.64291918206167,99.97013174356302,37.18654894830915,108.78591870508846,33.21191310768383,82.70452027002437,,,25.013918469992
2023-04-28 13:22:54,111.13414001464844,35.54983323964007,48.64687766720117,99.96685288038769,37.198720305425766,108.78986195426393,33.2122765105608,82.68686371321057,,,31.485524335457697
2023-04-28 13:22:55,111.14154815673828,35.53892776162375,48.65064584055511,99.97423798342746,37.20675488442962,108.81893195399931,33.212439837696515,82.71940102340663,,,27.565213003370296
